# 0.760692
LHPLU	0	0	1	0	5	1	UCVCLVrIVICIV	ITEM/0.795290
UCVCLVrIVICIV	0	0	1	1	13	LHPLU	1	DES/0.949586
1	1	1	0	0	1	UCVCLVrIVICIV	null	QTY/0.985006

# 0.739951
WBM	0	0	1	0	3	PRICING	Item	ITEM/0.917821
Item	0	0	1	0	4	WBM	#	DES/0.988569
#	0	0	0	0	1	Item	UM	DES/0.983362
UM	0	0	1	0	2	#	WBM	DES/0.983453
WBM	0	0	1	0	3	UM	DESCRIPTION	DES/0.984020
DESCRIPTION	0	0	1	0	11	WBM	PRICING	DES/0.926713
PRICING	0	0	1	0	7	DESCRIPTION	null	DES/0.925552

# 0.150701
UNV10201	0	0	0	0	8	27.95	BX	ITEM/0.930385
BX	0	0	1	1	2	UNV10201	4	DES/0.404676
4	1	1	0	0	1	BX	SEC.	QTY/0.563197
SEC.	0	0	0	0	4	4	BLUE	DES/0.879731
BLUE	0	0	1	0	4	SEC.	CLASS.	DES/0.918135
CLASS.	0	0	0	0	6	BLUE	FOLDERS	DES/0.984999
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983154
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983560
10/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	10/EA	27.95	DES/0.929758
27.95	1	1	0	0	5	$	null	PRICE/0.814798

# 0.154914
UNV10252	0	0	0	0	8	16.99	BX	ITEM/0.930385
BX	0	0	1	1	2	UNV10252	4	DES/0.404269
4	1	1	0	0	1	BX	SEC.	QTY/0.562557
SEC.	0	0	0	0	4	4	GRAY	DES/0.873218
GRAY	0	0	1	0	4	SEC.	CLASS.	DES/0.906290
CLASS.	0	0	0	0	6	GRAY	FOLDERS	DES/0.984200
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983449
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983568
10/EA	0	0	0	0	5	-	$	DES/0.968009
$	0	0	0	1	1	10/EA	16.99	DES/0.935910
16.99	1	1	0	0	5	$	null	PRICE/0.851738

# 0.150610
UNV10251	0	0	0	0	8	18.99	BX	ITEM/0.930353
BX	0	0	1	1	2	UNV10251	4	DES/0.405395
4	1	1	0	0	1	BX	SEC.	QTY/0.559494
SEC.	0	0	0	0	4	4	GREEN	DES/0.878307
GREEN	0	0	1	0	5	SEC.	CLASS.	DES/0.917684
CLASS.	0	0	0	0	6	GREEN	FOLDERS	DES/0.985927
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.984079
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983575
10/EA	0	0	0	0	5	-	$	DES/0.963810
$	0	0	0	1	1	10/EA	18.99	DES/0.916070
18.99	1	1	0	0	5	$	null	PRICE/0.837186

# 0.144884
UNV10203	0	0	0	0	8	27.95	BX	ITEM/0.930385
BX	0	0	1	1	2	UNV10203	4	DES/0.404269
4	1	1	0	0	1	BX	SEC.	QTY/0.562557
SEC.	0	0	0	0	4	4	RUBY	DES/0.873218
RUBY	0	0	1	0	4	SEC.	RED	DES/0.906290
RED	0	0	1	0	3	RUBY	CLASS.	DES/0.984200
CLASS.	0	0	0	0	6	RED	FOLDERS	DES/0.983450
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983458
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983557
10/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	10/EA	27.95	DES/0.929758
27.95	1	1	0	0	5	$	null	PRICE/0.814798

# 0.147345
UNV10204	0	0	0	0	8	28.88	BX	ITEM/0.930385
BX	0	0	1	1	2	UNV10204	4	DES/0.404269
4	1	1	0	0	1	BX	SEC.	QTY/0.562557
SEC.	0	0	0	0	4	4	YELLOW	DES/0.873218
YELLOW	0	0	1	0	6	SEC.	CLASS.	DES/0.906290
CLASS.	0	0	0	0	6	YELLOW	FOLDERS	DES/0.984200
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983449
