ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
GMT6783,"COFFEE,KCUP,WILD MT BLUBRRY,24/BX",1,BX,13.99,13.99
GMT6082,"TEA,KCUP,BIGELOW EARL GRY",1,BX,13.74,13.74
GMT6408,"COFFEE, KCUP, EIGHT O'CLOCK, ITALIAN",1,BX,12.79,12.79
DCCS6BW,"SPOON,PLASTIC,M-WGT,WE",1,CT,20.74,20.74
DCCK6BW,"KNIFE,PLASTIC,M-WGT,WE",1,CT,20.99,20.99
DCCF6BW,"FORK,PLASTIC, M-WGT,WHT",1,CT,18.99,18.99
PME75000244,"CUP,HOT,12OZ,COFFEEBEAN,1000/CT",1,CT,51.99,51.99
SEV13731PK,"TOWEL,PAPER,RCYC,6/PK,WHT",1,PK,21.79,21.79
PGC35045,"TISSUE,PUFFS,3/56SH,WH",1,PK,7.99,7.99
UNV08607,"HOOK,CUBICLE,COAT,2/PK,CC",1,EA,9.99,9.99
HFA1225,"HANDI-FOIL WRAP,12X25,STANDARD WEIGHT",1,EA,3.99,3.99
HEWCF280A,"TONER,F/M401/425-2.7K",1,EA,103.99,103.99
HEWCE505A,"TONER,F/P2035/2055-2.3K",1,EA,90.99,90.99
MMM680RYBGVA,"FLAG,VALUE PACK,AST",1,PK,13.24,13.24
