ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
MRC610,"TOWEL,PAPER,15/PK MARCAL (MRL6710)",4,CT,10.99,43.96
VBIRNW1K150V,"BAG , TRASH , TALL KITCH 13GL",2,BX,14.99,29.96
DURMN15RT12Z,"BATTERY , ALKLN , AA ,12/PK",1,PK,10.49,10.49
CLO01761,DISINFECTANT WPS LV 5/75C,2,CT,25.99,51.98
CLO35418EA,"CLEANER,PINESOL,144FL,OZ",1,EA,9.99,9.99
BICGSM11BK,"PEN,BALLPOINT,MED PT,BK",4,EA,0.99,3.96
MMM6549YW,"NOTE,HLND,3X3,YW 100/PD 12PD/PK",4,PK,3.49,13.96
MRC6079,"TSSUE,BTHRM,48-300 SHT/CT",1,CT,23.99,23.99
CPC01903EA,"SOAP,AB CRISP CLEAN, OR ",1,EA,17.99,17.99
RAC05762CT,"FRESHENER,AIR,4IN1,LAV",1,CT,12.99,12.99
