ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
UNV07071,"MARKER,PERMNT FINE,BK",2,DZ,7.99,15.98
SAN27025,"HILGHTER,PKT ACCENT.FYW",1,DZ,8.99,8.99
SAN25026,"HILIGHTER,MJR ACCENT,FLG",1,DZ,8.99,8.99
SAN25025,"HILIGHTER,MJR ACCENT,FYW",3,DZ,8.99,26.97
SAN25006,"HILIGHTER,MJR ACCENT,OE",1,DZ,8.99,8.99
AVE03400,"BINDER,ECNMY, RND RING BNDR, 1-112"" BLUE ",1,EA,4.19,4.19
,(WLJ36834NBL),,,,
AVE05726,"BINDERVIEW, 1.5"" WHITE,(18557)(WLJ36234W)",4,EA,6.74,26.96
AVE11111,"INDEX,BNDR,11X8.5,8CLRD",2,ST,1.85,3.7
HEWCF380A,"TONER,BLK.312A-2.4K",3,EA,91.99,275.97
HEWCF440AM,"TONER,HP312A,3PK,LJ,AST",2,PK,331.99,663.98
HAM122549,"PAPER,COVER,CLR COPY 60#WHT.250/PK",1,PK,14.99,14.99
